大部分找不到的菜单，可以在
菜单（Office 按钮） | Word 选项
中找到

http://www.addintools.com/cn/documents/where-word-tools-menu.html

经典菜单是什么
经典菜单是一款专为习惯使用
Microsoft Office 2003 、XP (2002 年) 和 2000老界面的用户设计的软件。
它可以在Microsoft Office 2007/2010/2013的新界面上恢复经典菜单和工具栏。
它恢复的经典视图能帮用户轻松地过渡到最新版本的 Office，
并像使用 Office 2003 一样使用Office 2007/2010/2013

如果你尝试在 Word 2007, 2010, 2013, 2016, 365中搜寻老式工具菜单中的任何项目，请参考下面的解决方案。

解决方案
解决方案 a： 恢复工具菜单。如果你习惯使用Office 2003、 XP(2002) 及 2000的老式菜单和工具栏，那就试试经典菜单吧。它能在Word 2007, 2010, 2013, 2016, 365 的新功能区界面上恢复老式的菜单和工具栏。经典菜单包含了Word 2007 /2010的所有新功能。 了解更多...

解决方案 b： 在新功能区界上搜索 （工具菜单） 的每一项。如果你喜欢Word 2007 或 2010的新功能区界面，并想要在它上面找到某些功能(在 Word 2007 中的位置 和 在Word 2010 中的位置) ，请浏览下表。下表显示了工具菜单中的各项命令在新功能界面中位置。


Word 2003 的位置 (2002年/2000)	Word 2007 的位置
拼写和语法	审阅 |校对 |拼写和语法
拼写和语法	博客 |校对 |拼写检查
信息检索	审阅 |校对 |信息检索
信息检索	博客 |校对 |拼写检查 |信息检索
语言 （设置语言）	审阅 |校对 |语言设置
语言 （设置语言）	博客 |校对 |拼写检查 |语言设置
＊ 语言 （日语一致性检查器）	审阅 |校对 |日语一致性检查
＊ 语言 （朝鲜文字/朝鲜文汉字转换）	审阅 |校对 |朝鲜/朝鲜文汉字转换
＊ 语言 （朝鲜文字/朝鲜文汉字转换）	博客 |校对 |拼写检查 |朝鲜文字/朝鲜文汉字转换
＊ 语言 （中文翻译-翻译选项）	审阅 |中文翻译 |翻译选项
＊ 语言 （中文翻译-翻译选项）	博客 |校对 |拼写检查 |翻译选项
语言 （翻译）	审阅 |校对 |翻译
语言 （翻译）	博客 |校对 |拼写检查 |翻译
语言 （同义词库）	审阅 |校对 |同义词库
语言 （同义词库）	博客 |校对 |拼写检查 |同义词库
语言 （连字)	页面布局 |页面设置 |连字 |连字选项
＊ 修复损坏的文本	可从 Office 在线 Web 站点下载
字数统计	审阅 |校对 |字数统计
字数统计	博客 |校对 |拼写检查 |字数统计
摘要	Office 按钮 |Word 选项 |自定义 |所有命令 |AutoSummary 工具
查找引用	总之，用鼠标右键单击，然后单击查找
演讲	已从Word中移除
共享工作区	文件 |发布 |创建文档工作区
显示标记	审阅 |跟踪 |跟踪更改
比较并合并文档	审阅 |比较 |比较 |比较
比较并合并文档	审阅 |比较 |比较 |联合收割机
保护文档	开发者 |保护 |保护文档
保护文档	审阅 |保护 |保护文档
联机协作 （现在满足)	已从Word中移除
联机协作 （日程安排会议）	已从Word中移除
联机协作 （Web 讨论）	已从Word中移除
联机协作 (结束审查)	已从Word中移除
信函和邮件 （邮件合并）	邮件 |开始邮件合并 |开始邮件合并 |一步一步邮件合并向导
信函和邮件 （显示邮件合并工具栏）	从产品已删除工具栏。
要查找在邮件合并工具栏上的命令，转到该工作簿的邮件合并工具栏表。
＊ 信件和邮件 （显示日文问候语工具栏）	从产品已删除工具栏。
日文问候语工具栏上找到的命令，去日本问候工具栏此工作簿的工作表。
＊ 信件和邮件 （日本明信片向导）	邮件 |创建 |日本明信片向导
信函和邮件 （信封和标签）	邮件 |创建 |信封
信函和邮件 （信封和标签）	邮件 |创建 |标签
＊ 信件和邮件 （中国信封向导）	邮件 |创建 |中国的信封
信函和邮件 （信函向导）	已从Word中移除
宏 （宏)	开发者 |代码 |宏
宏 （宏)	查看 |宏 |宏
宏 （新宏记录）	开发者 |代码 |录制宏 / 停止记录器
宏 （新宏记录）	查看 |宏 |宏 |录制宏 / 停止记录器
宏 （安全性）	开发者 |代码 |宏安全性
宏 （Visual Basic 编辑器中）	开发者 |代码 |Visual Basic
宏 （Microsoft 脚本编辑器）	已从Word中移除
模板和加载项	开发者 |模板 |文档模板
自动更正选项	Office 按钮 |Word 选项 |校对 |自动更正选项
自定义	Office 按钮 |Word 选项 |自定义
显示签名	Office 按钮 |完成 |添加数字签名
Word选项	Office 按钮 |Word 选项
